Dates;PX_LAST;PX_BID;PX_ASK
22.04.2016;73;72,582;73,418
25.04.2016;74,629;74,295;74,963
26.04.2016;74,497;74,067;74,927
27.04.2016;73,73;73,373;74,087
28.04.2016;76,481;76,043;76,919
29.04.2016;77,478;77,027;77,928
02.05.2016;77,965;77,504;78,426
03.05.2016;81,479;81,14;81,817
04.05.2016;83,346;82,909;83,783
05.05.2016;84,742;84,406;85,078
06.05.2016;85,265;84,871;85,659
09.05.2016;84,013;83,689;84,337
10.05.2016;80,507;80,235;80,78
11.05.2016;82,217;81,805;82,63
12.05.2016;81,288;80,899;81,677
13.05.2016;83,312;83,001;83,623
16.05.2016;81,535;81,198;81,872
17.05.2016;82,507;82,165;82,848
18.05.2016;83,727;83,458;83,996
19.05.2016;85,188;84,864;85,513
20.05.2016;83,749;83,436;84,063
23.05.2016;83,596;83,299;83,894
24.05.2016;79,573;79,261;79,885
25.05.2016;77,085;76,787;77,383
26.05.2016;77,036;76,754;77,318
27.05.2016;76,242;75,878;76,606
31.05.2016;76,668;76,397;76,938
01.06.2016;77,314;77,024;77,605
02.06.2016;77,124;76,777;77,471
03.06.2016;77,365;77,09;77,641
06.06.2016;74,393;74,118;74,667
07.06.2016;73,773;73,511;74,035
08.06.2016;73,594;73,305;73,884
09.06.2016;75,993;75,617;76,37
10.06.2016;78,775;78,414;79,136
13.06.2016;81,54;81,134;81,945
14.06.2016;84,093;83,684;84,503
15.06.2016;85,208;84,823;85,594
16.06.2016;82,717;82,353;83,082
17.06.2016;82,805;82,38;83,23
20.06.2016;80,12;79,786;80,454
21.06.2016;78,57;78,273;78,866
22.06.2016;78,91;78,513;79,306
23.06.2016;76,247;75,798;76,697
24.06.2016;86,963;86,402;87,523
27.06.2016;91,179;90,738;91,62
28.06.2016;84,598;84,182;85,015
29.06.2016;81,27;80,832;81,707
30.06.2016;76,984;76,554;77,413
01.07.2016;77,417;76,921;77,913
05.07.2016;78,993;78,71;79,277
06.07.2016;76,343;75,996;76,69
07.07.2016;76,72;76,347;77,093
08.07.2016;73,001;72,549;73,452
11.07.2016;72,307;72,043;72,572
12.07.2016;70,882;70,599;71,165
13.07.2016;71,345;71,022;71,668
14.07.2016;71,331;71,041;71,621
15.07.2016;72,844;72,283;73,405
18.07.2016;70,975;70,698;71,251
19.07.2016;71,254;70,915;71,592
20.07.2016;70,212;69,956;70,467
21.07.2016;71,342;71,048;71,637
22.07.2016;70,563;70,28;70,845
25.07.2016;73,451;73,202;73,7
26.07.2016;74,577;74,204;74,951
27.07.2016;73,45;73,211;73,689
28.07.2016;74,295;74,019;74,571
29.07.2016;72,025;71,541;72,509
01.08.2016;75,231;74,935;75,528
02.08.2016;76,833;76,561;77,106
03.08.2016;74,941;74,664;75,217
04.08.2016;73,22;72,968;73,472
05.08.2016;70,725;70,339;71,111
08.08.2016;71,34;71,093;71,586
09.08.2016;71,175;70,879;71,471
10.08.2016;72,138;71,869;72,407
11.08.2016;71,503;71,235;71,771
12.08.2016;71,597;71,288;71,906
15.08.2016;70,45;70,202;70,698
16.08.2016;71,07;70,818;71,323
17.08.2016;70,704;70,444;70,965
18.08.2016;69,572;69,307;69,837
19.08.2016;70,478;70,153;70,803
22.08.2016;71,891;71,63;72,152
23.08.2016;70,768;70,521;71,014
24.08.2016;71,762;71,525;72
25.08.2016;71,482;71,229;71,736
26.08.2016;72,017;71,691;72,342
29.08.2016;71,176;70,92;71,432
30.08.2016;71,258;71,008;71,507
31.08.2016;72,82;72,57;73,07
01.09.2016;73,885;73,647;74,122
02.09.2016;72,544;72,2;72,887
06.09.2016;71,162;70,912;71,412
07.09.2016;71,635;71,355;71,915
08.09.2016;71,652;71,34;71,965
09.09.2016;76,072;75,753;76,392
12.09.2016;73,257;72,958;73,557
13.09.2016;76,926;76,673;77,18
14.09.2016;77,31;77,05;77,57
15.09.2016;74,651;74,39;74,912
16.09.2016;75,958;75,65;76,267
19.09.2016;74,765;74,415;75,115
20.09.2016;81,698;81,398;81,997
21.09.2016;78,506;78,25;78,762
22.09.2016;76,015;75,695;76,335
23.09.2016;76,876;76,615;77,137
26.09.2016;79,113;78,795;79,43
27.09.2016;77,42;77,09;77,75
28.09.2016;75,365;75,048;75,682
29.09.2016;78,265;77,943;78,587
30.09.2016;75,132;74,75;75,515
03.10.2016;75,232;74,785;75,68
04.10.2016;75,705;75,428;75,982
05.10.2016;74,75;74,5;75
06.10.2016;74,257;74,013;74,502
07.10.2016;74,349;74,018;74,68
11.10.2016;75,753;75,49;76,015
12.10.2016;75,52;75,253;75,787
13.10.2016;76,053;75,8;76,307
14.10.2016;75,674;75,288;76,06
17.10.2016;76,078;75,843;76,313
18.10.2016;75,003;74,705;75,3
19.10.2016;73,725;73,458;73,992
20.10.2016;73,938;73,668;74,208
21.10.2016;73,799;73,498;74,1
24.10.2016;73,767;73,483;74,05
25.10.2016;74,537;74,25;74,825
26.10.2016;75,345;75,08;75,61
27.10.2016;76,257;75,963;76,552
28.10.2016;77,702;77,403;78,002
31.10.2016;78,708;78,425;78,99
01.11.2016;79,52;79,253;79,787
02.11.2016;79,977;79,74;80,215
03.11.2016;80,702;80,428;80,977
04.11.2016;80,967;80,705;81,23
07.11.2016;76,447;76,2;76,695
08.11.2016;75,757;75,343;76,172
09.11.2016;74,467;74,068;74,867
10.11.2016;75,447;75,058;75,837
14.11.2016;77,503;77,173;77,832
15.11.2016;73,988;73,728;74,247
16.11.2016;75,255;74,93;75,58
17.11.2016;74,932;74,693;75,172
18.11.2016;76,786;76,48;77,092
21.11.2016;75,733;75,365;76,102
22.11.2016;73,855;73,543;74,167
23.11.2016;73,979;73,543;74,415
25.11.2016;73,07;72,673;73,467
28.11.2016;73,845;73,595;74,095
29.11.2016;73,5;73,15;73,85
30.11.2016;72,751;72,506;72,997
01.12.2016;73,507;73,225;73,79
02.12.2016;72,921;72,628;73,215
05.12.2016;71,894;71,58;72,207
06.12.2016;69,54;69,288;69,792
07.12.2016;68,035;67,78;68,29
08.12.2016;68,895;68,578;69,212
09.12.2016;66,89;66,635;67,145
12.12.2016;68,095;67,78;68,41
13.12.2016;67,827;67,612;68,042
14.12.2016;69,43;69,133;69,727
15.12.2016;68,798;68,553;69,042
16.12.2016;68,945;68,648;69,242
